Days,ABdate,ABCumulativeCases,ABNewCases,ABPolicy1,ABPolicy2,ABPolicy3,BCdate,BCCumulativeCases,BCNewCases,ONdate,ONCumulativeCases,ONNewCases,SASKdate,SASKCumulativeCases,SASKNewCases,QUEdate,QUECumulativeCases,QUENewCases,MANdate,MANCumulativeCases,MANNewCases
1,05-Mar-20,1,1,,,,28-Jan-20,1,1,25-Jan-20,1,1,12-Mar-20,1,1,28-Feb-20,1,0,12-Mar-20,1,0
2,06-Mar-20,1,0,"Self-isolation recommended, all international travel",,,29-Jan-20,1,0,26-Jan-20,1,0,13-Mar-20,2,1,29-Feb-20,1,0,13-Mar-20,4,3
3,07-Mar-20,2,1,,,,30-Jan-20,1,0,27-Jan-20,2,1,14-Mar-20,3,1,01-Mar-20,1,0,14-Mar-20,4,0
4,08-Mar-20,5,3,,,,31-Jan-20,1,0,28-Jan-20,2,0,15-Mar-20,6,3,02-Mar-20,1,0,15-Mar-20,7,3
5,09-Mar-20,6,1,,,,01-Feb-20,1,0,29-Jan-20,2,0,16-Mar-20,7,1,03-Mar-20,1,0,,,
6,10-Mar-20,12,6,,,,02-Feb-20,1,0,30-Jan-20,2,0,17-Mar-20,8,1,04-Mar-20,1,0,17-Mar-20,15,8
7,11-Mar-20,19,7,,,,03-Feb-20,1,0,31-Jan-20,3,1,18-Mar-20,16,8,05-Mar-20,2,1,18-Mar-20,17,2
8,12-Mar-20,21,2,Restrict gatherings to 250 people or less. Excludes places of worship.,,,04-Feb-20,2,1,01-Feb-20,3,0,19-Mar-20,20,4,06-Mar-20,3,1,19-Mar-20,17,0
9,13-Mar-20,31,10,,,,05-Feb-20,,,02-Feb-20,3,0,20-Mar-20,26,6,07-Mar-20,3,0,20-Mar-20,17,0
10,14-Mar-20,50,19,,,,06-Feb-20,4,2,03-Feb-20,3,0,21-Mar-20,44,18,08-Mar-20,4,1,21-Mar-20,19,2
11,15-Mar-20,60,10,K-12 in-class instruction suspended,Restrict gatherings to 250 people or less,,07-Feb-20,4,0,04-Feb-20,3,0,22-Mar-20,52,8,09-Mar-20,4,0,22-Mar-20,20,1
12,16-Mar-20,84,24,,,,08-Feb-20,4,0,05-Feb-20,3,0,23-Mar-20,66,14,10-Mar-20,7,3,23-Mar-20,20,0
13,17-Mar-20,99,15,Prov. Public Emergency Declared,Restrict gatherings to 50 people or less,Bars/pubs ordered closed. Restaurants remain open with restrictions.,09-Feb-20,4,0,06-Feb-20,3,0,24-Mar-20,72,6,11-Mar-20,8,1,24-Mar-20,21,1
14,18-Mar-20,127,28,Enhanced job protection legislation,"Emergency support package announced - individuals, workers",,10-Feb-20,4,0,07-Feb-20,3,0,25-Mar-20,86,14,12-Mar-20,17,9,25-Mar-20,35,14
15,19-Mar-20,157,30,First Death Reported,,,11-Feb-20,4,0,08-Feb-20,3,0,26-Mar-20,95,9,13-Mar-20,17,0,26-Mar-20,36,1
16,20-Mar-20,203,46,"Additions to emergency support package announced - oil & gas, resources",,,12-Feb-20,4,0,09-Feb-20,3,0,27-Mar-20,104,9,14-Mar-20,24,7,27-Mar-20,39,3
17,21-Mar-20,242,39,,,,13-Feb-20,4,0,10-Feb-20,3,0,28-Mar-20,134,30,15-Mar-20,39,15,28-Mar-20,64,25
18,22-Mar-20,284,42,,,,14-Feb-20,5,1,11-Feb-20,3,0,29-Mar-20,156,22,16-Mar-20,50,11,29-Mar-20,72,8
19,23-Mar-20,342,58,"Emergency support package announced - property taxes, WCB deferral",,,15-Feb-20,5,0,12-Feb-20,3,0,30-Mar-20,176,20,17-Mar-20,74,24,30-Mar-20,96,24
20,24-Mar-20,405,63,,,,16-Feb-20,5,0,13-Feb-20,3,0,31-Mar-20,184,8,18-Mar-20,94,20,31-Mar-20,103,7
21,25-Mar-20,418,13,Legal enforcment ,,,17-Feb-20,5,0,14-Feb-20,3,0,01-Apr-20,193,8,19-Mar-20,121,27,1-Apr-20,127,24
22,26-Mar-20,525,52,,,,18-Feb-20,5,0,15-Feb-20,3,0,02-Apr-20,206,8,20-Mar-20,139,18,2-Apr-20,167,40
23,27-Mar-20,610,85,,,,19-Feb-20,5,0,16-Feb-20,3,0,,,,21-Mar-20,181,42,,,
24,28-Mar-20,664,54,,,,20-Feb-20,6,1,17-Feb-20,3,0,,,,22-Mar-20,219,38,,,
25,29-Mar-20,688,24,,,,21-Feb-20,6,0,18-Feb-20,3,0,,,,23-Mar-20,628,409,,,
26,30-Mar-20,737,49,,,,22-Feb-20,6,0,19-Feb-20,3,0,,,,24-Mar-20,1040,412,,,
27,31-Mar-20,864,127,,,,23-Feb-20,6,0,20-Feb-20,3,0,,,,25-Mar-20,1338,298,,,
28,01-Apr-20,952,88,,,,24-Feb-20,7,1,21-Feb-20,3,0,,,,26-Mar-20,1629,291,,,
29,02-Apr-20,967,15,,,,25-Feb-20,7,0,22-Feb-20,3,0,,,,27-Mar-20,2021,392,,,
30,,,,,,,26-Feb-20,7,0,23-Feb-20,4,1,,,,28-Mar-20,2498,477,,,
31,,,,,,,27-Feb-20,7,0,24-Feb-20,4,0,,,,29-Mar-20,2840,342,,,
32,,,,,,,28-Feb-20,7,0,25-Feb-20,4,0,,,,30-Mar-20,3430,590,,,
33,,,,,,,29-Feb-20,8,1,26-Feb-20,5,1,,,,31-Mar-20,4162,732,,,
34,,,,,,,01-Mar-20,8,0,27-Feb-20,6,1,,,,01-Apr-20,4611,449,,,
35,,,,,,,02-Mar-20,8,0,28-Feb-20,8,2,,,,02-Apr-20,5518,907,,,
36,,,,,,,03-Mar-20,12,4,29-Feb-20,11,3,,,,,,,,,
37,,,,,,,04-Mar-20,13,1,01-Mar-20,15,4,,,,,,,,,
38,,,,,,,05-Mar-20,,,02-Mar-20,18,3,,,,,,,,,
39,,,,,,,06-Mar-20,21,8,03-Mar-20,20,2,,,,,,,,,
40,,,,,,,07-Mar-20,27,6,04-Mar-20,20,0,,,,,,,,,
41,,,,,,,08-Mar-20,,,05-Mar-20,23,3,,,,,,,,,
42,,,,,,,09-Mar-20,32,5,06-Mar-20,28,5,,,,,,,,,
43,,,,,,,10-Mar-20,39,7,07-Mar-20,28,0,,,,,,,,,
44,,,,,,,11-Mar-20,46,7,08-Mar-20,32,4,,,,,,,,,
45,,,,,,,12-Mar-20,53,7,09-Mar-20,35,3,,,,,,,,,
46,,,,,,,13-Mar-20,64,11,10-Mar-20,36,1,,,,,,,,,
47,,,,,,,14-Mar-20,,,11-Mar-20,42,6,,,,,,,,,
48,,,,,,,15-Mar-20,,,12-Mar-20,59,17,,,,,,,,,
49,,,,,,,16-Mar-20,103,39,13-Mar-20,79,20,,,,,,,,,
50,,,,,,,17-Mar-20,186,83,14-Mar-20,103,24,,,,,,,,,
51,,,,,,,18-Mar-20,231,45,15-Mar-20,146,43,,,,,,,,,
52,,,,,,,19-Mar-20,271,40,16-Mar-20,177,31,,,,,,,,,
53,,,,,,,20-Mar-20,348,77,17-Mar-20,189,12,,,,,,,,,
54,,,,,,,21-Mar-20,424,76,18-Mar-20,214,25,,,,,,,,,
55,,,,,,,22-Mar-20,472,48,19-Mar-20,258,44,,,,,,,,,
56,,,,,,,23-Mar-20,539,67,20-Mar-20,318,60,,,,,,,,,
57,,,,,,,24-Mar-20,617,78,21-Mar-20,377,59,,,,,,,,,
58,,,,,,,25-Mar-20,659,42,22-Mar-20,425,48,,,,,,,,,
59,,,,,,,26-Mar-20,725,66,23-Mar-20,503,78,,,,,,,,,
60,,,,,,,27-Mar-20,792,67,24-Mar-20,588,85,,,,,,,,,
61,,,,,,,28-Mar-20,884,92,25-Mar-20,688,100,,,,,,,,,
62,,,,,,,29-Mar-20,900,16,26-Mar-20,858,170,,,,,,,,,
63,,,,,,,30-Mar-20,970,70,27-Mar-20,993,135,,,,,,,,,
64,,,,,,,31-Mar-20,1013,43,28-Mar-20,1144,151,,,,,,,,,
65,,,,,,,01-Apr-20,1066,53,29-Mar-20,1326,182,,,,,,,,,
66,,,,,,,02-Apr-20,1121,55,30-Mar-20,1706,380,,,,,,,,,
67,,,,,,,,,,31-Mar-20,1966,260,,,,,,,,,
68,,,,,,,,,,01-Apr-20,2392,426,,,,,,,,,
69,,,,,,,,,,02-Apr-20,2793,401,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,
